eta,C,n_hidden,epochs,accuracy_mean,accuracy_std
1e-06,0.001,50,100,0.31660192821316596,0.03459052564376473
1e-06,0.001,50,100,0.30640712332058156,0.039521254200867134
1e-06,0.001,30,100,0.30162980207309914,0.032060299223514596
1e-06,0.001,30,100,0.2783367674685263,0.031301437656937346
1e-05,0.001,30,100,0.2530171845646908,0.01248220497515303
1e-05,0.001,50,100,0.2516588332037175,0.001000548410777902
1e-05,0.001,50,100,0.2512117891050186,0.005655842904729925
1e-05,0.001,30,100,0.24942412393353236,0.006503918892617997
